,cell_id,group
894,aaijlnki-1,tumor
895,aaijobec-1,macrophage
896,aaijojeo-1,fibroblast
897,aaikafll-1,tumor
899,aaikdgcc-1,tumor
900,aaikfbmd-1,fibroblast
901,aaikflpl-1,tumor
902,aaikhhcf-1,tumor
903,aaiklafe-1,tumor
904,aaikmkji-1,macrophage
905,aaikofme-1,tumor
906,aaildeja-1,tumor
907,aailgeml-1,fibroblast
908,aailijno-1,tumor
909,aailioha-1,tumor
910,aailjgcf-1,fibroblast
911,aailknpm-1,tumor
913,aaimccgl-1,tumor
914,aaimenke-1,endothelial
915,aaimgigf-1,tumor
916,aaimkneg-1,tumor
917,aaimpbni-1,tumor
918,aaimphga-1,tumor
919,aaimpipb-1,tumor
920,aainageg-1,tumor
921,aaingjic-1,tumor
922,aainheop-1,tumor
924,aaininpb-1,tumor
925,aainjali-1,tumor
926,aainlfco-1,tumor
927,aaiogbdm-1,tumor
928,aaiokeme-1,fibroblast
929,aaiomlkn-1,endothelial
930,aaipagoo-1,tumor
932,aaipcfmc-1,tumor
933,aaipfodn-1,tumor
934,aaipjppp-1,tumor
935,aaipmcan-1,tumor
937,aaipnidf-1,tumor
938,aaipondb-1,tumor
939,aajadpmp-1,endothelial
941,aajaipmb-1,monocyte
942,aajapfcc-1,tumor
943,aajapgmk-1,endothelial
944,aajbafbh-1,tumor
945,aajbdllb-1,tumor
946,aajbifbp-1,macrophage
948,aajcaamd-1,tumor
950,aajccdog-1,fibroblast
951,aajcclge-1,tumor
952,aajcdcac-1,epithelial
953,aajcpopg-1,tumor
954,aajdbpnf-1,tumor
958,aajdikci-1,tumor
959,aajdjbpe-1,tumor
961,aajdkejp-1,tumor
962,aajdnaep-1,tumor
963,aajeghpi-1,CD4 N/CM
964,aajeilpb-1,tumor
966,aajfaajk-1,tumor
967,aajfagcm-1,endothelial
968,aajfhoop-1,cDC2
970,aajfmbjg-1,tumor
972,aajgdkcb-1,tumor
973,aajgefgn-1,tumor
974,aajgfogh-1,tumor
975,aajgglbk-1,tumor
976,aajgjbdi-1,tumor
977,aajgjppi-1,tumor
978,aajgoeci-1,tumor
979,aajgpdfb-1,tumor
981,aajhhick-1,tumor
982,aajhkgnj-1,tumor
983,aajhpcmo-1,tumor
984,aajhpnhi-1,tumor
985,aajidojl-1,tumor
986,aajigcbn-1,tumor
987,aajigeeb-1,macrophage
989,aajimbmd-1,monocyte
991,aajjdebj-1,plasma b
993,aajjgomc-1,tumor
994,aajjhici-1,tumor
995,aajjifcl-1,macrophage
996,aajjjoga-1,cDC2
997,aajjnbkl-1,endothelial
998,aajjnmim-1,tumor
999,aajkalgp-1,fibroblast
1000,aajkbdhj-1,b cell
1001,aajkbmla-1,cDC2
1002,aajkboap-1,macrophage
1003,aajkfenl-1,tumor
1004,aajkipii-1,tumor
1005,aajkjpgm-1,tumor
1006,aajklmkg-1,tumor
1007,aajkmpel-1,fibroblast
1009,aajknlod-1,tumor
1010,aajkpggd-1,tumor
1011,aajlafpa-1,tumor
1012,aajlicdc-1,mixed_stromal
1015,aajlmdca-1,mixed_APC
1016,aajlogdl-1,tumor
1019,aajlpobd-1,tumor
1021,aajmgedl-1,fibroblast
1022,aajmhgmk-1,tumor
1024,aajmkloa-1,tumor
1025,aajmopjb-1,tumor
1026,aajnajmm-1,tumor
1027,aajnbkib-1,tumor
1028,aajnfakc-1,macrophage
1029,aajngpfj-1,mixed_immune
1031,aajnmgdn-1,tumor
1032,aajnogdb-1,tumor
1033,aajnpene-1,epithelial
1035,aajofcnf-1,tumor
1037,aajolcad-1,tumor
1038,aajoogic-1,tumor
1040,aajpdnen-1,tumor
1041,aajpiohd-1,tumor
1042,aajpmlnj-1,tumor
1044,aajppgcj-1,monocyte
1045,aakacfon-1,tumor
1046,aakaddfj-1,tumor
1047,aakaebcm-1,tumor
1048,aakagnfd-1,tumor
1049,aakakggd-1,CD4 EM
1050,aakamgbn-1,mesenchymal
1051,aakanamf-1,plasma b
1053,aakbffmd-1,tumor
1054,aakbnkkd-1,epithelial
1055,aakbodfj-1,tumor
1056,aakceaea-1,tumor
1057,aakcffki-1,macrophage
1058,aakcgknm-1,macrophage
1059,aakcigpf-1,tumor
1060,aakcilkc-1,macrophage
1061,aakclapg-1,tumor
1062,aakcocil-1,tumor
1063,aakddfng-1,mixed_immune
1064,aakdehfd-1,tumor
1065,aakdfnhm-1,tumor
1066,aakdgmch-1,mesenchymal
1068,aakdkgic-1,tumor
1070,aakebnpf-1,tumor
